code,name,display_name
000001.XSHE,PAYH,平安银行
000002.XSHE,WKA,万科A
000004.XSHE,GNKJ,国农科技
000005.XSHE,SJXY,世纪星源
000006.XSHE,SZYA,深振业A
000007.XSHE,QXH,全新好
000008.XSHE,SZGT,神州高铁
000009.XSHE,ZGBA,中国宝安
000010.XSHE,*STML,*ST美丽
000011.XSHE,SWYA,深物业A
000012.XSHE,NBA,南玻A
000014.XSHE,SHGF,沙河股份
000016.XSHE,SKJA,深康佳A
000017.XSHE,SZHA,深中华A
000018.XSHE,*STSC,*ST神城
000019.XSHE,SLKG,深粮控股
000020.XSHE,SHFA,深华发A
000021.XSHE,SKJ,深科技
000023.XSHE,STDA,深天地A
000025.XSHE,TLA,特力A
000026.XSHE,FYDA,飞亚达A
000027.XSHE,SZNY,深圳能源
000028.XSHE,GYYZ,国药一致
000029.XSHE,SSFA,深深房A
000030.XSHE,FAGF,富奥股份
000031.XSHE,DYC,大悦城
000032.XSHE,SSDA,深桑达A
000034.XSHE,SXTF,神州数码
000035.XSHE,ZGTY,中国天楹
000036.XSHE,HLKG,华联控股
000037.XSHE,SNDA,深南电A
000038.XSHE,SDT,深大通
000039.XSHE,ZJJT,中集集团
000040.XSHE,BADC,东旭蓝天
000042.XSHE,ZZKG,中洲控股
000043.XSHE,ZHDC,中航善达
000045.XSHE,SFZA,深纺织A
000046.XSHE,FHKG,泛海控股
000048.XSHE,KDE,*ST康达
000049.XSHE,DSDC,德赛电池
000050.XSHE,STMA,深天马A
000055.XSHE,FDJT,方大集团
000056.XSHE,HTGJ,皇庭国际
000058.XSHE,SSG,深赛格
000059.XSHE,STHJ,华锦股份
000060.XSHE,ZJLN,中金岭南
000061.XSHE,NCP,农产品
000062.XSHE,SZHQ,深圳华强
000063.XSHE,ZXTX,中兴通讯
000065.XSHE,BFGJ,北方国际
000066.XSHE,CCDN,中国长城
000068.XSHE,STHS,华控赛格
000069.XSHE,HQCA,华侨城A
000070.XSHE,TFXX,特发信息
000078.XSHE,HWSW,海王生物
000088.XSHE,YTG,盐田港
000089.XSHE,SZJC,深圳机场
000090.XSHE,TJJT,天健集团
000096.XSHE,GJNY,广聚能源
000099.XSHE,ZXHZ,中信海直
000100.XSHE,TCLJT,TCL集团
000150.XSHE,YHJK,宜华健康
000151.XSHE,ZCGF,中成股份
000153.XSHE,FYYY,丰原药业
000155.XSHE,CNDL,川能动力
000156.XSHE,HSCM,华数传媒
000157.XSHE,ZLZK,中联重科
000158.XSHE,CSGF,常山北明
000159.XSHE,GJSY,国际实业
000166.XSHE,SWHY,申万宏源
000301.XSHE,DFSH,东方盛虹
000333.XSHE,MDJT,美的集团
000338.XSHE,WCDL,潍柴动力
000400.XSHE,XJDQ,许继电气
000401.XSHE,JDSN,冀东水泥
000402.XSHE,JRJ,金融街
000403.XSHE,ZXSH,振兴生化
000404.XSHE,HYYS,长虹华意
000407.XSHE,SLGF,胜利股份
000408.XSHE,JGY,藏格控股
000409.XSHE,SDDK,*ST地矿
000410.XSHE,SYJC,沈阳机床
000411.XSHE,YTJT,英特集团
000413.XSHE,DXGD,东旭光电
000415.XSHE,BHZL,渤海租赁
000416.XSHE,MSKG,民生控股
000417.XSHE,HFBH,合肥百货
000418.XSHE,XTEA,小天鹅A
000419.XSHE,TCKG,通程控股
000420.XSHE,JLHX,吉林化纤
000421.XSHE,NJZB,南京公用
